sample_id,action,prompt,masked_pixel_accuracy,nonmask_equality_after_copyback,palette_validity_raw,palette_validity_snapped,nearest_palette_distance_mean_raw,nearest_palette_distance_p95_raw,object_count_f1,instance_precision,instance_recall,instance_f1,extra_component_count,allowed_label_violation_count,raw_unique_palette_ids_after_nearest,copyback_unique_palette_ids,target_object_iou,target_object_iou_inside_mask,source_object_iou,source_remaining_pixels_inside_mask,source_removed_or_replaced,action_specific_iou,edit_success
c12_1_replace_round2_1_ce51b1c1-72b8-4812-a291-30bf97c07aa1_Bedroom-32206_replace-7_12,REPLACE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. REPLACE corner_side_table with round_end_table inside the white region and do not add extra objects.",0.7689969604863222,1.0,0.2872123718261719,1.0,1.013132351299789,1.7320508075688772,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,0,0,16,5,1.0,1.0,1.0,0,True,1.0,False
c12_1_replace_round2_reverse_4184f131-20fd-40ab-ad3e-d4ac14c0aae6_SecondBedroom-15677_replace-5_2_opposite,REPLACE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. REPLACE loveseat_sofa with lazy_sofa inside the white region and do not add extra objects.",0.8285165538686665,1.0,0.3467559814453125,1.0,1.8932337656120293,5.0990195135927845,0.7272727272727273,0.6666666666666666,0.8,0.7272727272727273,2,185,18,6,0.0,0.0,1.0,0,True,0.0,False
c12_1_replace_4184f131-20fd-40ab-ad3e-d4ac14c0aae6_SecondBedroom-15677_replace-5_2,REPLACE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. REPLACE lazy_sofa with loveseat_sofa inside the white region and do not add extra objects.",0.2913846716663618,1.0,0.3030853271484375,1.0,2.057344960431731,3.605551275463989,0.7272727272727273,0.5714285714285714,1.0,0.7272727272727273,3,251,19,6,1.0,1.0,1.0,0,True,1.0,False
