sample_manifest,taxonomy_source,taxonomy_source_commit,semantic_registry_version,registry_hash,palette_hash,category_count,category_id_range,wrong_provenance_hit
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_016/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_017/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_018/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_019/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_020/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_021/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_022/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_023/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_024/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_025/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_026/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_027/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_028/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_029/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_030/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_031/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
/wuqingyaoa800/qiuziyan/loreflection_outputs/semantic_layout_38class_overfit32_clean_v1/samples/room_032/sample_manifest.json,SemLayoutDiff,6b12bc4c42aa8377445af108093539073f0495c1,semantic_registry_v2,c235e9fd5a44f036d3e2d5f800d2602857e3a23ae8f77aef04799da706bb5a43,e36e643514f725f89e5e382ca17767faa40eeeef8442f612a31e4c1c04029044,38,0-37,False
