action,sample_id,variant,masked_pixel_accuracy,nonmask_equality_after_copyback,object_count_f1,allowed_label_violation_count,action_specific_iou,edit_success
TRANSLATE,translate_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-0_6,oracle_copyback,0.0,1.0,0.6666666666666666,4897,1.0,False
TRANSLATE,translate_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-0_6,I_bad,0.0,1.0,0.6666666666666666,4897,1.0,False
TRANSLATE,translate_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-0_6,random_palette,0.0,1.0,0.8,3847,0.0,False
TRANSLATE,translate_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-2_14-opposite,I_target,0.0,1.0,0.8571428571428571,3990,1.0,False
TRANSLATE,translate_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-2_14-opposite,oracle_copyback,0.0,1.0,0.8571428571428571,3990,1.0,False
TRANSLATE,translate_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-2_14-opposite,I_bad,0.0,1.0,0.8571428571428571,3990,1.0,False
TRANSLATE,translate_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-2_14-opposite,random_palette,0.0,1.0,1.0,3150,0.0,False
ADD,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0,I_target,0.0,1.0,0.6666666666666666,2891,1.0,False
ADD,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0,oracle_copyback,0.0,1.0,0.6666666666666666,2891,1.0,False
ADD,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0,I_bad,0.0,1.0,0.8,2891,1.0,False
ADD,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0,random_palette,0.0,1.0,0.8,2275,0.0,False
ADD,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8,I_target,0.0,1.0,0.8571428571428571,1995,1.0,False
ADD,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8,oracle_copyback,0.0,1.0,0.8571428571428571,1995,1.0,False
ADD,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8,I_bad,0.0,1.0,1.0,1995,1.0,False
ADD,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8,random_palette,0.0,1.0,1.0,1555,0.0,False
ADD,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18,I_target,0.0,1.0,1.0,18180,1.0,False
ADD,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18,oracle_copyback,0.0,1.0,1.0,18180,1.0,False
ADD,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18,I_bad,0.0,1.0,1.0,18180,1.0,False
ADD,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18,random_palette,0.0,1.0,1.0,14819,1.0,False
