sample_id,action,prompt,masked_pixel_accuracy,nonmask_equality_after_copyback,palette_validity_raw,palette_validity_snapped,nearest_palette_distance_mean_raw,nearest_palette_distance_p95_raw,object_count_f1,instance_precision,instance_recall,instance_f1,extra_component_count,allowed_label_violation_count,raw_unique_palette_ids_after_nearest,copyback_unique_palette_ids,target_object_iou,target_object_iou_inside_mask,source_object_iou,source_remaining_pixels_inside_mask,old_region_target_pixels,old_region_cleared,new_region_target_present,action_specific_iou,edit_success
translate_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,TRANSLATE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. TRANSLATE the dressing_table by clearing the old region and painting exactly one object in the new region.",0.8762088974854932,1.0,0.3443031311035156,1.0,0.9831459509420736,1.7320508075688772,0.8571428571428571,1.0,0.75,0.8571428571428571,0,0,18,5,0.0,0.0,0.0,0,0,True,False,0.0,False
c12_1_translate_66f67e6f-2c22-473c-9997-0690a62661ec_Bedroom-7423_pose-1-0_12,TRANSLATE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. TRANSLATE the double_bed by clearing the old region and painting exactly one object in the new region.",0.4468974250738708,1.0,0.32582855224609375,1.0,1.6079691079365128,1.7320508075688772,0.6666666666666666,0.5,1.0,0.6666666666666666,5,3328,23,9,1.0,1.0,1.0,0,0,True,False,1.0,False
translate_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,TRANSLATE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. TRANSLATE the dressing_table by clearing the old region and painting exactly one object in the new region.",0.6745454545454546,1.0,0.3123016357421875,1.0,1.2630621984840018,1.7320508075688772,0.375,0.25,0.75,0.375,9,758,22,10,0.0,0.0,0.0,0,0,True,False,0.0,False
