sample_id,action,prompt,masked_pixel_accuracy,nonmask_equality_after_copyback,palette_validity_raw,palette_validity_snapped,nearest_palette_distance_mean_raw,nearest_palette_distance_p95_raw,object_count_f1,instance_precision,instance_recall,instance_f1,extra_component_count,allowed_label_violation_count,raw_unique_palette_ids_after_nearest,copyback_unique_palette_ids,target_object_iou,target_object_iou_inside_mask,source_object_iou,source_remaining_pixels_inside_mask,white_region_floor_or_target_accuracy,source_removed_or_replaced,action_specific_iou,edit_success
remove_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,REMOVE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. REMOVE the extra dressing_table inside the white source region and restore valid floor/background.",1.0,1.0,0.3503456115722656,1.0,0.9685936154732255,1.7320508075688772,1.0,1.0,1.0,1.0,0,0,18,5,,,1.0,0,1.0,True,1.0,True
c12_1_remove_473f4a9e-505e-4864-9ffd-59a793b26d5a_Bedroom-1705_remove-2_8,REMOVE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. REMOVE the extra nightstand inside the white source region and restore valid floor/background.",0.3119825708061002,1.0,0.30695343017578125,1.0,1.5351992109528312,1.7320508075688772,0.4,0.25,1.0,0.4,3,113,17,8,,,1.0,0,0.3119825708061002,True,0.3119825708061002,False
remove_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,REMOVE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. REMOVE the extra double_bed inside the white source region and restore valid floor/background.",0.8921605401350338,1.0,0.34085845947265625,1.0,1.0507116798606293,1.7320508075688772,0.75,0.75,0.75,0.75,1,90,18,7,,,1.0,0,0.8921605401350338,True,0.8921605401350338,False
